inst066_atom_id;article_number;circ005_requirement_id;relationship;review_status;activation
INST066_ART032_ATOM001;32;CIRC005_1_4_FCP_REGULATION_AVAILABILITY;SUPPLEMENTS_OR_CONSTRAINS;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
INST066_ART033_ATOM001;33;;NO_EXACT_LINK_IDENTIFIED;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
INST066_ART034_ATOM001;34;;NO_EXACT_LINK_IDENTIFIED;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
INST066_ART035_ATOM001;35;;NO_EXACT_LINK_IDENTIFIED;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
INST066_ART036_ATOM001;36;;NO_EXACT_LINK_IDENTIFIED;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
INST066_ART037_ATOM001;37;;NO_EXACT_LINK_IDENTIFIED;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
INST066_ART038_ATOM001;38;CIRC005_1_10_FCP_PARTS_CHARACTERISTICS;SUPPLEMENTS_OR_CONSTRAINS;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
INST066_ART039_ATOM001;39;;NO_EXACT_LINK_IDENTIFIED;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
INST066_ART040_ATOM001;40;;NO_EXACT_LINK_IDENTIFIED;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
INST066_ART041_ATOM001;41;;NO_EXACT_LINK_IDENTIFIED;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
INST066_ART042_ATOM001;42;;NO_EXACT_LINK_IDENTIFIED;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
INST066_ART043_ATOM001;43;CIRC005_1_18_FCP_REMUNERATION_REIMBURSEMENT;SUPPLEMENTS_OR_CONSTRAINS;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
INST066_ART044_ATOM001;44;;NO_EXACT_LINK_IDENTIFIED;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
INST066_ART045_ATOM001;45;;NO_EXACT_LINK_IDENTIFIED;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
INST066_ART046_ATOM001;46;;NO_EXACT_LINK_IDENTIFIED;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
INST066_ART047_ATOM001;47;CIRC005_1_13_FCP_REDEMPTION_REIMBURSEMENT;SUPPLEMENTS_OR_CONSTRAINS;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
INST066_ART047_ATOM001;47;CIRC005_1_13_FCP_SUSPENSION;SUPPLEMENTS_OR_CONSTRAINS;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
INST066_ART048_ATOM001;48;CIRC005_1_16_FCP_ASSET_VALUATION;SUPPLEMENTS_OR_CONSTRAINS;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
